visit_time_id,device_type,source_page_id,dest_page_id,visitor_count,time_dimension,source_page_name,dest_page_name,source_total,source_ratio
1,pc,1.00,2.00,61,2025-01-01,首页,活动页,536,11.38
1,pc,1.00,3.00,70,2025-01-01,首页,分类页,536,13.06
1,pc,1.00,4.00,59,2025-01-01,首页,宝贝页,536,11.01
1,pc,1.00,5.00,66,2025-01-01,首页,新品页,536,12.31
1,pc,1.00,6.00,61,2025-01-01,首页,商品详情页,536,11.38
1,pc,1.00,7.00,59,2025-01-01,首页,订阅页,536,11.01
1,pc,1.00,8.00,46,2025-01-01,首页,直播页,536,8.58
1,pc,1.00,9.00,56,2025-01-01,首页,购物车,536,10.45
1,pc,1.00,10.00,58,2025-01-01,首页,结算页,536,10.82
1,pc,2.00,1.00,58,2025-01-01,活动页,首页,523,11.09
1,pc,2.00,3.00,47,2025-01-01,活动页,分类页,523,8.99
1,pc,2.00,4.00,58,2025-01-01,活动页,宝贝页,523,11.09
1,pc,2.00,5.00,63,2025-01-01,活动页,新品页,523,12.05
1,pc,2.00,6.00,65,2025-01-01,活动页,商品详情页,523,12.43
1,pc,2.00,7.00,60,2025-01-01,活动页,订阅页,523,11.47
1,pc,2.00,8.00,60,2025-01-01,活动页,直播页,523,11.47
1,pc,2.00,9.00,55,2025-01-01,活动页,购物车,523,10.52
1,pc,2.00,10.00,57,2025-01-01,活动页,结算页,523,10.90
1,pc,3.00,1.00,60,2025-01-01,分类页,首页,525,11.43
1,pc,3.00,2.00,53,2025-01-01,分类页,活动页,525,10.10
1,pc,3.00,4.00,64,2025-01-01,分类页,宝贝页,525,12.19
1,pc,3.00,5.00,48,2025-01-01,分类页,新品页,525,9.14
1,pc,3.00,6.00,55,2025-01-01,分类页,商品详情页,525,10.48
1,pc,3.00,7.00,57,2025-01-01,分类页,订阅页,525,10.86
1,pc,3.00,8.00,70,2025-01-01,分类页,直播页,525,13.33
1,pc,3.00,9.00,59,2025-01-01,分类页,购物车,525,11.24
1,pc,3.00,10.00,59,2025-01-01,分类页,结算页,525,11.24
1,pc,4.00,1.00,71,2025-01-01,宝贝页,首页,520,13.65
1,pc,4.00,2.00,59,2025-01-01,宝贝页,活动页,520,11.35
1,pc,4.00,3.00,44,2025-01-01,宝贝页,分类页,520,8.46
1,pc,4.00,5.00,63,2025-01-01,宝贝页,新品页,520,12.12
